system,entrant_event_predictions,events,rank_percentile_mae,rank_percentile_spearman,time_mae_seconds_diagnostic
external_bayesian,2154,37,0.13245148610302668,0.8171819180868588,696.5771973181634
external_bayesian_conservative,2154,37,0.18116332163481877,0.6719385330297348,846.2718295959792
external_logtime,2154,37,0.09407215418048563,0.8976012295593329,437.8081213593154
external_logtime_conservative,2154,37,0.09757205557573807,0.8927186315428787,1159.2104083206623
external_logtime_no_tier,2154,37,0.0942727720388103,0.8948770290514293,422.40956600932185
external_nationals,2154,37,0.09520029896838601,0.8969248130921351,422.40956600932185
