month,asof_n,new_members,new_member_share,asof_p10,asof_p25,asof_median_jpar,asof_p75,asof_p90,new_entrant_first_jpar_median,new_entrant_first_jpar_p75,event_rows,event_new_row_share,median_event_jpar,median_adjusted_event_jpar,median_calibration_multiplier
2025-04,620,620,1.0,0.7349341559901927,0.8588029407230988,1.1380094770390559,1.4772457967911263,2.005957734980011,1.1496230895643937,1.4854791927215807,914,0.6783369803063457,0.9130082488226512,0.9857736910920163,1.3456582156574144
2025-05,657,37,0.0563165905631659,0.7390049300458158,0.8774133407021616,1.1497928880541357,1.4651347804938222,1.9976273912275728,1.2691298458027465,1.531164843301522,204,0.18137254901960784,0.9232003208341688,1.0771944981587653,1.6126271596873156
2025-06,682,25,0.036656891495601175,0.7507481930641736,0.8984558376084598,1.189729752624616,1.530901004738915,2.06246575189551,1.75203805382102,2.446991234331328,68,0.36764705882352944,0.8260609942295571,1.5516603433191318,2.3041682120408433
2025-07,721,39,0.05409153952843273,0.7634254431699687,0.918845969484404,1.1930092999767703,1.5251342460212347,2.037470144515439,1.3167095001347813,1.4619209680075635,241,0.16182572614107885,0.8899332929047907,1.0834171340280323,1.4317401240737622
2025-08,785,64,0.08152866242038216,0.7923156365506675,0.9493877167617268,1.2380032671499417,1.5958701774470736,2.1100330279879107,1.6455884921196606,2.0409731228410912,284,0.22535211267605634,0.9130980778791922,1.2015644420214842,1.5975344531894817
2025-09,801,16,0.019975031210986267,0.7921110452764861,0.9493877167617268,1.2381508268095076,1.5768918766047966,2.0953113595414115,1.1485622839552647,1.2418414868681187,202,0.07920792079207921,0.9799400143525216,0.9796246184580293,1.0155246189176645
2025-10,839,38,0.04529201430274136,0.7995008218259982,0.9703810047557186,1.2817173695674078,1.6835919107369366,2.2516480969623736,2.2935288922669965,2.80868194848403,81,0.4691358024691358,0.8238213399503722,2.1365334554674607,2.2649905422101435
2025-11,929,90,0.0968783638320775,0.8765475872811722,1.0649158301243582,1.3706963768994749,1.8745089337141847,2.38464183541018,2.181014933108661,2.4968417574216852,346,0.26011560693641617,0.8612967676494543,1.5234819739283556,2.2674962954259006
2025-12,932,3,0.003218884120171674,0.8775967708479584,1.0660855790117987,1.3748402275670937,1.8782049693483915,2.3985767914249863,15.470315736838536,17.156658488226505,3,1.0,1.29694710685126,15.470315736838536,11.928254942021118
2026-01,955,23,0.024083769633507852,0.8904814795166762,1.0716246114089887,1.3706963768994749,1.8718402755884571,2.3934276543902833,1.4036241628973956,1.6515671724651924,99,0.23232323232323232,0.9065212552860004,1.168157175210685,1.2886153175108293
2026-03,1224,269,0.21977124183006536,0.9694712912143045,1.1577862238822714,1.454484692764932,1.9758719996457748,2.5465680778353095,1.786982723383342,2.3476247536076817,937,0.2870864461045891,0.906284454244763,1.2755217964552956,1.6332050529702
